,title,description
172,tale passion,author activist isabel allende discus woman creativity definition feminism course passion
173,we worry local warm your lap,investor prankster yossi vardi deliver ballsy lecture danger blogging specifically men
174,emergent genius ant colony,deborah gordon study ant colony arizona desert understand their complex social system she ask how do these chitinous creature get down business even multitask when they need no language memory or visible leadership her answer could lead better understand all complex system brain web thank ant
175,mystery box,abrams trace love unseen mystery passion evident film tv show include lose star trek upcoming star war vii back it magical beginning
176,underwater astonishment,david gallo show footage amaze sea creature include cuttlefish perfectly camouflage octopus time square worth neon light display fish who live blackest depth ocean this short celebrate pioneer work ocean explorer like edith widder roger hanlon
177,treat design a art,paola antonelli design curator at new york museum modern art want spread her appreciation design all shape form around world
178,a master architect ask now what,in wildly entertain discussion richard saul wurman architect frank gehry give tedsters take power failure recent build then what factor
179,tembererana,raúl midón perform all answer world premiere at follow by sprightly tembererana
180,rebuild neighborhood beauty dignity hope,bill strickland tell quiet astonish tale redemption through art music unlikely partnership
181,learner,wofford college president bernie dunlap tell story sandor teszler hungarian holocaust survivor who teach him passionate live lifelong learn
182,music war,new york time tech columnist david pogue perform satirical itunes download war borrow few note sonny cher village people
183,an unusual glimpse at celebrity,by make photograph seem show our favorite celebs diana elton john do what really secretly want see them do alison jackson explore our desire get personal celebs contain graphic image
184,ted nonprofit transition,chris anderson give prior take over leadership ted richard saul wurman be leave ted future be balance he seek persuade tedsters what be then conference have secure future a an nonprofit endeavor
185,idea behind zipcar what come next,robin chase found zipcar world s biggest business that be one her smaller idea here she travel much farther contemplate scheme will shake up our drive habit mesh network vast a interstate
186,a song city,jaime lerner reinvent urban space native curitiba brazil along way change way city planner worldwide see what possible metropolitan landscape
187,an illustrate journey through rome,david macaulay relive wind sometimes surreal journey toward completion rome antic illustrate homage historic city
188,a view,what if human consciousness darwinism what if be all just pawn corn clever strategy game rule earth author michael pollan ask u see world view
189,new power collaboration,howard rheingold talk come world collaboration participatory medium collective action wikipedia really an outgrowth our natural human instinct work a group
190,untouchable music theremin,virtuoso pamelia kurstin perform discus her theremin electronic instrument play without be touch song include autumn leave lush life david mash s listen word be go
191,story project orion,author george dyson spin story project orion massive spacecraft could have take u saturn five year his insider s perspective secret cache document bring an atomic age dream life
192,build uniqueness,look back over long career architect moshe safdie delve into four design project explain labor make each one truly unique it site it user
193,jill julia show,two ted favorite jill sobule julia sweeney team up delightful set mix witty songwriting little bite social commentary
194,juggle jest,illustrious juggler raspyni brother show off their uncanny balance agility coordination willingness sacrifice others now if just stand completely still
195,a parable kenya,joseph lekuton member parliament kenya start story remarkable education then offer parable africa can grow his message hope have never be more relevant
196,model rocketry,moneyman steve jurvetson take tedsters inside awesome hobby launch model rocket by share some gorgeous photo infectious glee just whiff danger
197,a preview worldwide telescope,educator roy gould researcher curtis wong show sneak preview microsoft worldwide telescope which compile image telescope satellite build comprehensive interactive view our universe
198,a powerful idea idea,with all intensity brilliance which know alan kay envision better technique teach kid by use computer illustrate experience way mathematically scientifically only computer can
199,on verge create synthetic life,can create new life out our digital universe craig venter ask his answer yes pretty soon he walk through latest research promise soon be able build boot up synthetic chromosome note this be give field science have develop quickly since then read criticism update below more detail
200,prediction,with surprise accuracy nicholas negroponte predict what will happen web interface service kiosk touchscreen interface iphone own one laptop per child project
201,my stroke insight,jill bolte taylor get research opportunity few brain scientist would wish she have massive stroke watch a her brain function motion speech shut down one by one an astonish story
202,my day a young rebel,before be legend architect frank gehry take whistlestop tour early work house venice beach american center paris which be under construction much mind when give
203,my wish once upon school,accept ted prize author dave egger ask ted community personally creatively engage local public school with spellbind eagerness talk valencia tutor center inspire others around world open
204,my wish charter compassion,people want be religious say scholar karen armstrong should help make religion force harmony she ask ted community help build charter compassion restore golden rule a central global religious doctrine
205,my wish find next einstein africa,accept ted prize physicist neil turok speak out talented young african starve opportunity by unlock nurture continent creative potential can create change africa future
206,my green agenda architecture,architect norman foster discus own work show computer can help architect design build be green beautiful basically from dld conference munich
207,a look inside brain real time,neuroscientist inventor christopher decharms demonstrate new way use fmri show brain activity thought emotion pain while happen in other word can actually see feel
208,call learn,clifford stoll captivate audience wildly energetic sprinkle anecdote observation aside even science experiment after all by own definition scientist once i do something i want do something else
209,No description,rokia traore sing move accompany malian string instrument soulful timbre a quietly mesmerize performance
210,search true face leonardo,i mona lisa one face planet but would recognize an image leonardo da vinci illustrator siegfried woldhek use some thoughtful technique find what believe true face leonardo
211,sputnik mania,filmmaker david hoffman share footage documentary sputnik mania which show soviet union launch sputnik lead both space race arm race science math education around world
212,a new kind music video,what would music video look like if be direct by music purely a an expression great song rather than drive by filmmaker concept designer jakob trollback share result experiment form
213,question universe,in keep theme professor stephen hawk ask some big question our universe how do universe begin how do life begin be alone discus might go answer them
214,new think climate crisis,in slideshow premier al gore present evidence pace climate change may be even worse than scientist recently predict he challenge u act
215,free or cheap wii remote hack,build sophisticate educational tool out cheap part johnny lee demo cool wii remote hack which turn video game controller into digital whiteboard touchscreen viewer
216,invent instrument unlock new music,tod machover mit medium lab devote extend musical expression everyone virtuoso amateur most diverse form opera video game he composer dan ellsey shed light what next
217,new economics,yochai benkler explain collaborative project like wikipedia linux represent next stage human organization
218,health care,ernest madu run heart institute caribbean kingston jamaica where prove careful design smart technical choice true desire serve possible offer healthcare develop world
219,where do creativity hide,novelist amy tan dig deep into creative process look hint hers evolve
220,make sense string theory,physicist brian greene explain superstring theory idea minscule strand energy vibrate dimension create every particle force universe
221,cern supercollider,physicist brian cox talk work large hadron collider at cern discus biggest big science an engage accessible way cox bring u along tour massive project
222,wake up it they might be giant,in very very set they might be giant rock play older bee bird moth asbury park fingertip alphabet nation plus they take phone call dead
223,think behind,hector ruiz executive chair amd want give internet access everyone in share extraordinary life story describe amd initiative call connect percent world by
224,way mushroom can save world,mycologist paul stamets list way mycelium fungus can help save universe clean pollute soil make insecticide treat smallpox even flu virus
225,can domesticate germ,evolutionary biologist paul ewald drag u into sewer discus germ why be some more harmful than others how could make harmful one benign search answer examine disgust fascinate case diarrhea
226,juggle a art science,michael moschen put quietly mesmerize show juggle do think juggle an art you might just change your mind after watch moschen motion
227,a think experiment intelligence crow,hacker writer joshua klein fascinate by crow notice gleam intelligence their little black eye after long amateur study corvid behavior come up an elegant think experiment machine could form new bond between animal human
228,how news distort our worldview,alisa miller head public radio international talk why though want know more world than ever medium actually show u le stats graph
229,what wrong what eat,in fiery funny new york time food writer mark bittman weigh what wrong way eat now too much meat too few plant too much fast food too little home cook why put entire planet at risk
230,astonish hide world deep ocean,ocean explorer robert ballard take u mindbending trip hide world underwater where other researcher be find unexpected life resource even new mountain he make case serious exploration map google ocean anyone
231,design object tell story,designer yves behar dig up creative root discus some iconic object create leaf lamp jawbone headset then turn witty surprise elegant object work now include laptop
232,move sculpture,sculptor engineer arthur ganson talk work kinetic art explore deep philosophical idea fun look at
233,a hospital tour nigeria,seyi oyesola take sear look at health care underdevelop country his photo tour nigerian teach hospital all hack donate supply drive home challenge do basic health care there
234,bottom billion,around world right now one billion people be trap poor or fail country how can help them economist paul collier lay out bold compassionate plan close gap between rich poor
235,meme temes,susan blackmore study meme idea replicate themselves brain brain like virus she make bold new argument humanity have spawn new kind meme teme which spread itself via technology invent way keep itself alive
236,archeology animal photography bbq,nathan myhrvold talk few latest fascination animal photography archeology bbq generally be an eccentric genius multimillionaire listen wild story somewhat raunchy edge animal world
237,kounandi,rokia traore perform kounandi breathtaking song blend malian instrument modern heartfelt vocal note this song not available download
238,worldwide web belief ritual,anthropologist wade davis muse worldwide web belief ritual make u human he share breathtaking photo story elder brother group sierra nevada indian whose spiritual practice hold world balance
239,ancestor language,after speak at elegance physic amaze murray give quick overview another passionate interest find common ancestry our modern language
240,birth computer,historian george dyson tell story birth modern computer it origin hilarious notebook some early computer engineer
241,turn powerful stats into art,artist chris jordan show u an arrest view what western culture look like his supersized image picture some almost unimaginable statistic like astonish number paper cup use every single day
242,your gene be not your fate,dean ornish share new research show adopt healthy lifestyle habit can affect person at genetic level for instance say when live healthier eat better exercise love more your brain cell actually increase
243,robot inspire by cockroach ingenuity,insect animal have evolve some amaze skill but a robert full note many animal be actually trick copy only what necessary he show human engineer can learn animal trick
244,a mobile fridge vaccine,adam grosser talk project build refrigerator work without electricity bring vital tool village clinic worldwide tweak some old technology come up system work
245,surprise stats child carseats,steven levitt share data show car seat be no more effective than seatbelt protect kid die car however during question answer session make one crucial caveat
246,transformative power classical music,benjamin zander have two infectious passion classical music help u all realize our untapped love by extension our untapped love all new possibility new experience new connection
247,one laptop per child two year,nicholas negroponte talk one laptop per child do two year speak at eg conference while first xo laptop roll off production line recap controversy recommit goal project
248,clonie,nellie mckay perform song clonie create ultimate companion
249,a performance breath music passion,composer sxip shirey make music simple dramatic act breathe alone together open your ear passionate minute
250,stephen hawk zero g flight,x prize founder peter diamandis talk help stephen hawk fulfill dream go space by fly together into upper atmosphere experience weightlessness at zero g
251,story girl,photographer rick smolan tell unforgettable story young amerasian girl fateful photograph an adoption saga twist
252,peace earth,guitarist singer raul midon play everybody peace earth during set at ted
253,a hero congo forest,botanist corneille ewango talk work at okapi faunal reserve congo basin heroic work protect poacher miner rag civil war
